Equipo,Nombre,Imagen
BAL,Baltimore Orioles,https://loodibee.com/wp-content/uploads/mlb-baltimore-orioles-logo-300x300.png
BOS,Boston Red Sox,https://loodibee.com/wp-content/uploads/mlb-boston-red-sox-logo-300x300.png
CHA,Chicago White Sox,https://loodibee.com/wp-content/uploads/mlb-chicago-white-sox-logo-300x300.png
CLE,Cleveland Guardians,https://loodibee.com/wp-content/uploads/mlb-cleveland-guardians-logo-300x300.png
DET,Detroit Tigers,https://loodibee.com/wp-content/uploads/mlb-detroit-tigers-logo-300x300.png
HOU,Houston Astros,https://loodibee.com/wp-content/uploads/mlb-Houston-Astros-Logo-300x300.png
KCA,Kansas City Royals,https://loodibee.com/wp-content/uploads/mlb-kansas-city-royals-logo-300x300.png
LAA,Los Angeles Angels,https://loodibee.com/wp-content/uploads/mlb-los-angeles-angels-logo-300x300.png
MIN,Minnesota Twins,https://loodibee.com/wp-content/uploads/mlb-minnesota-twins-logo-300x300.png
NYA,New York Yankees,https://loodibee.com/wp-content/uploads/mlb-new-york-yankees-logo-300x300.png
OAK,Oakland Athletics,https://loodibee.com/wp-content/uploads/mlb-oakland-athletics-logo-300x300.png
SEA,Seattle Mariners,https://loodibee.com/wp-content/uploads/mlb-seattle-mariners-logo-300x300.png
TBA,Tampa Bay Rays,https://loodibee.com/wp-content/uploads/mlb-tampa-bay-rays-logo-300x300.png
TEX,Texas Rangers,https://loodibee.com/wp-content/uploads/mlb-texas-rangers-logo-300x300.png
TOR,Toronto Blue Jays,https://loodibee.com/wp-content/uploads/mlb-toronto-blue-jays-logo-300x300.png
ARI,Arizona Diamondbacks,https://loodibee.com/wp-content/uploads/mlb-arizona-diamondbacks-logo-300x300.png
ATL,Atlanta Braves,https://loodibee.com/wp-content/uploads/mlb-atlanta-braves-logo-300x300.png
CHN,Chicago Cubs,https://loodibee.com/wp-content/uploads/mlb-chicago-cubs-logo-300x300.png
CIN,Cincinnati Reds,https://loodibee.com/wp-content/uploads/mlb-cincinnati-reds-logo-300x300.png
COL,Colorado Rockies,https://loodibee.com/wp-content/uploads/mlb-colorado-rockies-logo-300x300.png
LAN,Los Angeles Dodgers,https://loodibee.com/wp-content/uploads/mlb-los-angeles-dodgers-logo-300x300.png
MIA,Miami Marlins,https://loodibee.com/wp-content/uploads/mlb-miami-marlins-logo-300x300.png
MIL,Milwaukee Brewers,https://loodibee.com/wp-content/uploads/mlb-milwaukee-brewers-logo-300x300.png
NYN,New York Mets,https://loodibee.com/wp-content/uploads/mlb-new-york-mets-logo-300x300.png
PHI,Philadelphia Phillies,https://loodibee.com/wp-content/uploads/mlb-Philadelphia-Phillies-Logo-300x300.png
PIT,Pittsburgh Pirates,https://loodibee.com/wp-content/uploads/mlb-pittsburgh-pirates-logo-300x300.png
SDN,San Diego Padres,https://loodibee.com/wp-content/uploads/mlb-san-diego-padres-logo-300x300.png
SFN,San Francisco Giants,https://loodibee.com/wp-content/uploads/mlb-san-francisco-giants-logo-300x300.png
SLN,St. Louis Cardinals,https://loodibee.com/wp-content/uploads/mlb-st-louis-cardinals-logo-300x300.png
WAS,Washington Nationals,https://loodibee.com/wp-content/uploads/mlb-Washington-Nationals-Logo-300x300.png
